Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Hardware material (product.metafields.shopify.hardware-material),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
butterfly-silver-ep,BUTTERFLY SILVER EP,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Charms & Pendants,Ear hoop,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,550000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/22-IMG_3884.jpg?v=1770473520,1,"",false,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
butterfly-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/23-IMG_3882.jpg?v=1770473520,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/24-IMG_3879.jpg?v=1770473520,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twist-ribbon-silver-ep,TWIST RIBBON SILVER EP,"",VIETJEWELERS,"Apparel & Accessories > Clothing Accessories > Hair Accessories > Hair Pins, Claws & Clips",Ear hoop,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,950000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/18-IMG_3894.jpg?v=1770473520,1,"",false,,,502988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
twist-ribbon-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/17-IMG_3896.jpg?v=1770473520,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twist-ribbon-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/16-IMG_3897.jpg?v=1770473519,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double-cat-tail-silver-ep,DOUBLE CAT TAIL SILVER EP,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Earrings,Ear hoop,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,950000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/15-IMG_3900.jpg?v=1770473518,1,"",false,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
double-cat-tail-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/14-IMG_3901.jpg?v=1770473518,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double-cat-tail-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/1-IMG_3921.jpg?v=1770473519,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curved-shell-silver-ep,CURVED SHELL SILVER EP,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Earrings,Ear hoop,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,990000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/25-IMG_3877.jpg?v=1770473520,1,"",false,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
